"","soc_code","soc_lmi_title","employment","projected_2030","change_employment","percent_change","annual_openings_growth","exits","transfers","total_openings","median_wage","median_wage_symbol","jobsohioregion"
"692","25-1042","Biological Science Teachers, Postsecondary","739",801,62,0.0839,6,34,36,76,"96617","**","Central"
"693","25-1052","Chemistry Teachers, Postsecondary","172",181,9,0.0523,1,8,8,17,"78995","**","Central"
"694","25-1054","Physics Teachers, Postsecondary","141",148,7,0.0496,1,6,7,14,"95912","**","Central"
"695","25-1065","Political Science Teachers, Postsecondary","102",107,5,0.049,0,5,5,10,"96815","**","Central"
"696","25-1066","Psychology Teachers, Postsecondary","293",307,14,0.0478,1,13,14,28,"81120","**","Central"
"697","25-1072","Nursing Instructors and Teachers, Postsecondary","446",506,60,0.1345,6,21,22,49,"80067","**","Central"
"698","25-1081","Education Teachers, Postsecondary","230",238,8,0.0348,1,10,11,22,"62849","**","Central"
"699","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","125",125,0,0,0,6,6,12,"75840","**","Central"
"700","25-1121","Art, Drama, and Music Teachers, Postsecondary","498",524,26,0.0522,3,23,24,50,"78725","**","Central"
"701","25-1122","Communications Teachers, Postsecondary","135",140,5,0.037,0,6,6,12,"79520","**","Central"
"702","25-1123","English Language and Literature Teachers, Postsecondary","402",405,3,0.0075,0,18,19,37,"75926","**","Central"
"703","25-1124","Foreign Language and Literature Teachers, Postsecondary","254",269,15,0.0591,2,12,12,26,"78575","**","Central"
"704","25-1125","History Teachers, Postsecondary","278",284,6,0.0216,1,13,13,27,"82650","**","Central"
"705","25-1126","Philosophy and Religion Teachers, Postsecondary","119",128,9,0.0756,1,6,6,13,"79898","**","Central"
"706","25-1193","Recreation and Fitness Studies Teachers, Postsecondary","115",117,2,0.0174,0,5,5,10,"79268","**","Central"
"707","25-1194","Vocational Education Teachers, Postsecondary","165",171,6,0.0364,1,8,8,17,"23.12",NA,"Central"
"708","25-2011","Preschool Teachers, Except Special Education","3789",5158,1369,0.3613,137,183,261,581,"13.96",NA,"Central"
"709","25-2012","Kindergarten Teachers, Except Special Education","469",513,44,0.0938,4,20,29,53,"63168","**","Central"
"710","25-2021","Elementary School Teachers, Except Special Education","10446",11401,955,0.0914,96,335,438,869,"76326","**","Central"
"711","25-2022","Middle School Teachers, Except Special and Career/Technical Education","5804",6335,531,0.0915,53,186,243,482,"63668","**","Central"
"712","25-2031","Secondary School Teachers, Except Special and Career/Technical Education","8843",9720,877,0.0992,88,246,376,710,"75328","**","Central"
"713","25-2032","Career/Technical Education Teachers, Secondary School","463",501,38,0.0821,4,13,20,37,"63698","**","Central"
"714","25-2052","Special Education Teachers, Kindergarten and Elementary School","1740",1905,165,0.0948,16,59,72,147,"76762","**","Central"
"715","25-2057","Special Education Teachers, Middle School","796",870,74,0.093,7,27,33,67,"61155","**","Central"
"716","25-2058","Special Education Teachers, Secondary School","1628",1820,192,0.1179,19,56,69,144,"62670","**","Central"
"717","25-3011","Adult Basic and Secondary Education and Literacy Teachers and Instructors","152",142,-10,-0.0658,-1,9,8,16,"29.51",NA,"Central"
"718","25-3021","Self-Enrichment Education Teachers","2341",3008,667,0.2849,67,160,143,370,"14.39",NA,"Central"
"719","25-3031","Substitute Teachers, Short-Term","1058",1241,183,0.173,18,69,62,149,"13.73",NA,"Central"
"720","25-3097","Teachers and Instructors, All Other, Except Substitute Teachers","1548",1805,257,0.166,26,100,90,216,"17.940000000000001","^^^","Central"
"721","25-4022","Librarians and Media Collections Specialists","1077",1162,85,0.0789,8,55,49,112,"28.87",NA,"Central"
"722","25-4031","Library Technicians","667",665,-2,-0.003,0,55,41,96,"18.13",NA,"Central"
"723","25-9031","Instructional Coordinators","1212",1338,126,0.104,13,63,56,132,"30.13",NA,"Central"
"724","25-9044","Teaching Assistants, Postsecondary","2843",2923,80,0.0281,8,129,135,272,"31547","**","Central"
"725","25-9045","Teaching Assistants, Except Postsecondary","7503",8674,1171,0.1561,117,362,378,857,"28845","**","Central"
"726","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","20406",22137,1731,0.0848,173,807,1336,2316,"23.76",NA,"Central"
"727","27-1011","Art Directors","549",561,12,0.0219,1,27,29,57,"42.39",NA,"Central"
"728","27-1014","Multimedia Artists and Animators","224",215,-9,-0.0402,-1,11,11,21,"26.39",NA,"Central"
"729","27-1021","Commercial and Industrial Designers","233",249,16,0.0687,2,7,14,23,"30.65",NA,"Central"
"730","27-1023","Floral Designers","297",245,-52,-0.1751,-5,8,16,19,"13.8",NA,"Central"
"731","27-1024","Graphic Designers","1822",1905,83,0.0456,8,57,111,176,"24.55",NA,"Central"
"732","27-1025","Interior Designers","739",768,29,0.0392,3,23,45,71,"27.99",NA,"Central"
"733","27-1026","Merchandise Displayers and Window Trimmers","1371",1431,60,0.0438,6,43,83,132,"14.56",NA,"Central"
"734","27-2012","Producers and Directors","727",674,-53,-0.0729,-5,15,44,54,"29.24",NA,"Central"
"735","27-2022","Coaches and Scouts","2849",3309,460,0.1615,46,175,248,469,"37777","**","Central"
"736","27-2041","Music Directors and Composers","388",422,34,0.0876,3,24,23,50,"32.869999999999997",NA,"Central"
"737","27-3011","Radio and Television Announcers","176",187,11,0.0625,1,7,10,18,"14.11",NA,"Central"
"738","27-3023","News Analysts, Reporters, and Journalists","423",394,-29,-0.0686,-3,12,31,40,"19.95",NA,"Central"
"739","27-3031","Public Relations Specialists","2782",3006,224,0.0805,22,72,190,284,"30.2",NA,"Central"
"740","27-3041","Editors","727",704,-23,-0.0316,-2,23,45,66,"30.16",NA,"Central"
"741","27-3042","Technical Writers","370",395,25,0.0676,2,10,24,36,"31.6",NA,"Central"
"742","27-3043","Writers and Authors","1093",1041,-52,-0.0476,-5,43,59,97,"24.16",NA,"Central"
"743","27-3091","Interpreters and Translators","2124",2861,737,0.347,74,97,136,307,"18.739999999999998",NA,"Central"
"744","27-4011","Audio and Video Equipment Technicians","269",313,44,0.1636,4,8,21,33,"23.35",NA,"Central"
"745","27-4012","Broadcast Technicians","135",134,-1,-0.0074,0,4,10,14,"23.03",NA,"Central"
"746","27-4021","Photographers","708",734,26,0.0367,3,24,40,67,"18.07",NA,"Central"
"747","29-0000","Healthcare Practitioners and Technical Occupations","70670",81227,10557,0.1494,1056,1962,2277,5295,"30.18",NA,"Central"
"748","29-1011","Chiropractors","387",447,60,0.155,6,6,3,15,"29.34",NA,"Central"
"749","29-1021","Dentists, General","741",831,90,0.1215,9,14,7,30,"80.680000000000007",NA,"Central"
"750","29-1031","Dietitians and Nutritionists","458",525,67,0.1463,7,16,17,40,"29.26",NA,"Central"
"751","29-1041","Optometrists","302",346,44,0.1457,4,6,4,14,"49.29",NA,"Central"
"752","29-1051","Pharmacists","2341",2393,52,0.0222,5,44,46,95,"61.71",NA,"Central"
"753","29-1071","Physician Assistants","706",946,240,0.3399,24,13,33,70,"49.27",NA,"Central"
"754","29-1122","Occupational Therapists","959",1157,198,0.2065,20,23,35,78,"39.159999999999997",NA,"Central"
"755","29-1123","Physical Therapists","1604",1954,350,0.2182,35,35,37,107,"47.76",NA,"Central"
"756","29-1125","Recreational Therapists","117",126,9,0.0769,1,4,5,10,"22.99",NA,"Central"
"757","29-1126","Respiratory Therapists","1057",1362,305,0.2886,30,26,30,86,"29.87",NA,"Central"
"758","29-1127","Speech-Language Pathologists","1257",1680,423,0.3365,42,34,53,129,"38.11",NA,"Central"
"759","29-1128","Exercise Physiologists","188",219,31,0.1649,3,6,7,16,"17.8",NA,"Central"
"760","29-1129","Therapists, All Other","907",1012,105,0.1158,10,29,33,72,"36.159999999999997",NA,"Central"
"761","29-1131","Veterinarians","800",939,139,0.1738,14,14,14,42,"47.83",NA,"Central"
"762","29-1141","Registered Nurses","26388",30284,3896,0.1476,390,756,713,1859,"36.08",NA,"Central"
"763","29-1151","Nurse Anesthetists","645",759,114,0.1767,11,14,21,46,"81.39",NA,"Central"
"764","29-1171","Nurse Practitioners","1771",2717,946,0.5342,95,47,70,212,"49.63",NA,"Central"
"765","29-1211","Anesthesiologists","363",381,18,0.0496,2,6,4,12,"#",NA,"Central"
"766","29-1215","Family Medicine Physicians","333",365,32,0.0961,3,6,4,13,"86.13",NA,"Central"
"767","29-1216","General Internal Medicine Physicians","506",521,15,0.0296,2,8,6,16,"85.12",NA,"Central"
"768","29-1218","Obstetricians and Gynecologists","210",210,0,0,0,3,2,5,"81.569999999999993",NA,"Central"
"769","29-1223","Psychiatrists","108",128,20,0.1852,2,2,1,5,"#",NA,"Central"
"770","29-1228","Physicians, All Other; and Ophthalmologists, Except Pediatric","2142",2359,217,0.1013,22,36,25,83,"37.450000000000003","^^^","Central"
"771","29-1248","Surgeons, Except Ophthalmologists","396",400,4,0.0101,0,6,4,10,"# ^^^",NA,"Central"
"772","29-1292","Dental Hygienists","1261",1449,188,0.1491,19,49,34,102,"37.130000000000003",NA,"Central"
"773","29-1298","Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other","155",167,12,0.0774,1,7,2,10,"37.450000000000003","^^^","Central"
"774","29-2010","Clinical Laboratory Technologists and Technicians","2440",2721,281,0.1152,28,67,96,191,"23.91",NA,"Central"
"775","29-2031","Cardiovascular Technologists and Technicians","291",330,39,0.134,4,8,13,25,"29.9",NA,"Central"
"776","29-2032","Diagnostic Medical Sonographers","435",539,104,0.2391,10,13,21,44,"31.03",NA,"Central"
"777","29-2033","Nuclear Medicine Technologists","140",156,16,0.1143,2,4,6,12,"37.54",NA,"Central"
"778","29-2034","Radiologic Technologists","1647",1870,223,0.1354,22,48,76,146,"28.74",NA,"Central"
"779","29-2035","Magnetic Resonance Imaging Technologists","200",220,20,0.1,2,6,9,17,"37.17",NA,"Central"
"780","29-2040","Emergency Medical Technicians and Paramedics","939",1013,74,0.0788,7,18,45,70,"17.760000000000002","^","Central"
"781","29-2051","Dietetic Technicians","186",212,26,0.1398,3,5,9,17,"17.579999999999998",NA,"Central"
"782","29-2052","Pharmacy Technicians","3103",3225,122,0.0393,12,86,136,234,"17.62",NA,"Central"
"783","29-2053","Psychiatric Technicians","400",498,98,0.245,10,12,19,41,"14.26",NA,"Central"
"784","29-2055","Surgical Technologists","786",898,112,0.1425,11,23,36,70,"23.15",NA,"Central"
"785","29-2056","Veterinary Technologists and Technicians","1023",1176,153,0.1496,15,30,47,92,"17.510000000000002",NA,"Central"
"786","29-2057","Ophthalmic Medical Technicians","559",679,120,0.2147,12,17,27,56,"17.62",NA,"Central"
"787","29-2061","Licensed Practical and Licensed Vocational Nurses","7184",8219,1035,0.1441,104,260,322,686,"22.95",NA,"Central"
"788","29-2081","Opticians, Dispensing","748",802,54,0.0722,5,32,26,63,"21.77",NA,"Central"
"789","29-2091","Orthotists and Prosthetists","151",182,31,0.2053,3,4,7,14,"29.34",NA,"Central"
"790","29-2098","Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","2583",2872,289,0.1119,29,74,117,220,"22.55","^^^","Central"
"791","29-9098","Health Information Technologists, Medical Registrars, Surgical Assistants, & Healthcare Practitioners, AO","441",468,27,0.0612,3,12,20,35,"26.19","^^^","Central"
"792","31-0000","Healthcare Support Occupations","47611",60146,12535,0.2633,1254,3188,3297,7739,"14.21",NA,"Central"
"793","31-1120","Home Health and Personal Care Aides","23796",32404,8608,0.3617,861,1799,1591,4251,"11.54",NA,"Central"
"794","31-1131","Nursing Assistants","10398",11555,1157,0.1113,116,703,622,1441,"14.44",NA,"Central"
"795","31-1132","Orderlies","411",468,57,0.1387,6,28,25,59,"14.14",NA,"Central"
"796","31-1133","Psychiatric Aides","179",202,23,0.1285,2,12,11,25,"18.34",NA,"Central"
"797","31-2011","Occupational Therapy Assistants","500",704,204,0.408,20,30,44,94,"29.98",NA,"Central"
"798","31-2021","Physical Therapist Assistants","985",1313,328,0.333,33,49,87,169,"30.08",NA,"Central"
"799","31-9011","Massage Therapists","971",1200,229,0.2358,23,64,57,144,"23.15",NA,"Central"
"800","31-9091","Dental Assistants","2247",2594,347,0.1544,35,110,170,315,"22.58",NA,"Central"
"801","31-9092","Medical Assistants","5146",6326,1180,0.2293,118,235,429,782,"17.96",NA,"Central"
"802","31-9093","Medical Equipment Preparers","549",630,81,0.1475,8,33,39,80,"18.23",NA,"Central"
"803","31-9094","Medical Transcriptionists","132",111,-21,-0.1591,-2,6,10,14,"18.37",NA,"Central"
"804","31-9096","Veterinary Assistants and Laboratory Animal Caretakers","892",1039,147,0.1648,15,47,107,169,"14.27",NA,"Central"
"805","31-9097","Phlebotomists","683",811,128,0.1874,13,32,54,99,"17.850000000000001",NA,"Central"
"806","31-9099","Healthcare Support Workers, All Other","478",518,40,0.0837,4,28,33,65,"18.3",NA,"Central"
"807","33-0000","Protective Service Occupations","22769",25010,2241,0.0984,224,1070,1506,2800,"23.04",NA,"Central"
"808","33-1011","First-Line Supervisors of Correctional Officers","106",104,-2,-0.0189,0,3,5,8,"37.659999999999997",NA,"Central"
"809","33-1021","First-Line Supervisors of Fire Fighting and Prevention Workers","566",624,58,0.1025,6,14,24,44,"39.119999999999997",NA,"Central"
"810","33-1090","Miscellaneous First-Line Supervisors, Protective Service Workers","614",704,90,0.1466,9,24,38,71,"25.23","^","Central"
"811","33-2011","Firefighters","3540",3918,378,0.1068,38,82,192,312,"29.01",NA,"Central"
"812","33-3011","Bailiffs","253",266,13,0.0514,1,10,14,25,"22.96",NA,"Central"
"813","33-3012","Correctional Officers and Jailers","3122",2818,-304,-0.0974,-30,112,161,243,"23.04",NA,"Central"
"814","33-3021","Detectives and Criminal Investigators","569",575,6,0.0105,1,15,26,42,"37.659999999999997",NA,"Central"
"815","33-3051","Police and Sheriff's Patrol Officers","4694",5126,432,0.092,43,123,249,415,"37.21",NA,"Central"
"816","33-9021","Private Detectives and Investigators","135",133,-2,-0.0148,0,4,8,12,"23.94",NA,"Central"
"817","33-9032","Security Guards","6277",7350,1073,0.1709,107,361,528,996,"14.14",NA,"Central"
"818","33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","839",1078,239,0.2849,24,132,106,262,"10.84",NA,"Central"
"819","33-9093","Transportation Security Screeners","310",324,14,0.0452,1,11,16,28,"22.3",NA,"Central"
"820","33-9098","School Bus Monitors and Protective Service Workers, All Other","680",823,143,0.2103,14,104,83,201,"15.11","^^^","Central"
"821","35-0000","Food Preparation and Serving Related Occupations","84443",96042,11599,0.1374,1160,6822,9254,17236,"11.24",NA,"Central"
"822","35-1011","Chefs and Head Cooks","564",670,106,0.1879,11,18,60,89,"24.91",NA,"Central"
"823","35-1012","First-Line Supervisors of Food Preparation and Serving Workers","8959",10481,1522,0.1699,152,434,991,1577,"17.47",NA,"Central"
"824","35-2011","Cooks, Fast Food","4166",3878,-288,-0.0691,-29,237,344,552,"11.35",NA,"Central"
"825","35-2012","Cooks, Institution and Cafeteria","3661",3983,322,0.088,32,225,327,584,"14.34",NA,"Central"
"826","35-2014","Cooks, Restaurant","6119",8625,2506,0.4095,251,434,631,1316,"14.09",NA,"Central"
"827","35-2015","Cooks, Short Order","1019",1091,72,0.0707,7,62,90,159,"12.47",NA,"Central"
"828","35-2021","Food Preparation Workers","5264",5391,127,0.0241,13,418,490,921,"12.07",NA,"Central"
"829","35-3011","Bartenders","3393",4354,961,0.2832,96,176,469,741,"10.199999999999999",NA,"Central"
"830","35-3023","Fast Food and Counter Workers","27269",29969,2700,0.099,270,2775,3026,6071,"10.78",NA,"Central"
"831","35-3031","Waiters and Waitresses","15688",17969,2281,0.1454,228,1236,2010,3474,"10.039999999999999",NA,"Central"
"832","35-3041","Food Servers, Nonrestaurant","1947",2163,216,0.1109,22,163,160,345,"12.8",NA,"Central"
"833","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","1329",1636,307,0.231,31,128,128,287,"11.18",NA,"Central"
"834","35-9021","Dishwashers","2160",2446,286,0.1324,29,173,193,395,"11.15",NA,"Central"
"835","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","2226",2621,395,0.1774,40,287,273,600,"10.96",NA,"Central"
"836","35-9099","Food Preparation and Serving Related Workers, All Other","476",585,109,0.229,11,46,46,103,"11.42",NA,"Central"
"837","37-0000","Building and Grounds Cleaning and Maintenance Occupations","36160",37855,1695,0.0469,170,2087,2711,4968,"14.41",NA,"Central"
"838","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","1589",1614,25,0.0157,2,69,111,182,"19.46",NA,"Central"
"839","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","1226",1252,26,0.0212,3,38,89,130,"23.33",NA,"Central"
"840","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","17091",17801,710,0.0415,71,1089,1223,2383,"14.15",NA,"Central"
"841","37-2012","Maids and Housekeeping Cleaners","6937",7355,418,0.0603,42,485,460,987,"13.1",NA,"Central"
"842","37-3011","Landscaping and Groundskeeping Workers","8602",9087,485,0.0564,48,380,758,1186,"14.79",NA,"Central"
"843","39-0000","Personal Care and Service Occupations","23381",27817,4436,0.1897,444,1645,2018,4107,"12.57",NA,"Central"
"844","39-2011","Animal Trainers","125",161,36,0.288,4,7,10,21,"14.32",NA,"Central"
"845","39-2021","Nonfarm Animal Caretakers","1619",2286,667,0.412,67,125,162,354,"11.09",NA,"Central"
"846","39-3031","Ushers, Lobby Attendants, and Ticket Takers","608",966,358,0.5888,36,100,80,216,"11.5",NA,"Central"
"847","39-3091","Amusement and Recreation Attendants","1808",2352,544,0.3009,54,203,233,490,"10.72",NA,"Central"
"848","39-3093","Locker Room, Coatroom, and Dressing Room Attendants","111",137,26,0.2342,3,12,14,29,"14.05",NA,"Central"
"849","39-5012","Hairdressers, Hairstylists, and Cosmetologists","4186",4231,45,0.0108,4,223,234,461,"13.98",NA,"Central"
"850","39-5094","Skincare Specialists","344",390,46,0.1337,5,19,19,43,"18.05",NA,"Central"
"851","39-7010","Tour and Travel Guides","105",133,28,0.2667,3,8,11,22,"22.66",NA,"Central"
"852","39-9011","Childcare Workers","6523",7352,829,0.1271,83,467,485,1035,"11.28",NA,"Central"
"853","39-9031","Fitness Trainers and Aerobics Instructors","2137",2992,855,0.4001,86,150,243,479,"15.34",NA,"Central"
"854","39-9032","Recreation Workers","2653",3105,452,0.1704,45,169,273,487,"11.12",NA,"Central"
"855","41-0000","Sales and Related Occupations","95111",93524,-1587,-0.0167,-159,4582,7305,11728,"14.27",NA,"Central"
"856","41-1011","First-Line Supervisors of Retail Sales Workers","8325",7771,-554,-0.0665,-55,284,558,787,"18.77",NA,"Central"
"857","41-1012","First-Line Supervisors of Non-Retail Sales Workers","2771",2583,-188,-0.0678,-19,78,159,218,"38.090000000000003",NA,"Central"
"858","41-2011","Cashiers","17377",15429,-1948,-0.1121,-195,1395,1570,2770,"11.04",NA,"Central"
"859","41-2021","Counter and Rental Clerks","2044",2192,148,0.0724,15,95,145,255,"14.27",NA,"Central"
"860","41-2031","Retail Salespersons","27404",27038,-366,-0.0134,-37,1522,2248,3733,"13.41",NA,"Central"
"861","41-3011","Advertising Sales Agents","802",731,-71,-0.0885,-7,23,71,87,"24.04",NA,"Central"
"862","41-3021","Insurance Sales Agents","4264",4703,439,0.103,44,149,251,444,"29.02",NA,"Central"
"863","41-3031","Securities, Commodities, and Financial Services Sales Agents","4118",4448,330,0.0801,33,95,270,398,"37.24",NA,"Central"
"864","41-3041","Travel Agents","289",258,-31,-0.1073,-3,13,18,28,"18.57",NA,"Central"
"865","41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","7782",8207,425,0.0546,42,201,703,946,"27.83",NA,"Central"
"866","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","1775",1836,61,0.0344,6,53,122,181,"48.42",NA,"Central"
"867","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","9583",9798,215,0.0224,22,286,655,963,"30",NA,"Central"
"868","41-9011","Demonstrators and Product Promoters","180",199,19,0.1056,2,21,12,35,"14.8",NA,"Central"
"869","41-9022","Real Estate Sales Agents","3917",4088,171,0.0437,17,166,176,359,"17.739999999999998",NA,"Central"
"870","41-9031","Sales Engineers","292",298,6,0.0205,1,6,24,31,"47.92",NA,"Central"
"871","41-9041","Telemarketers","1125",894,-231,-0.2053,-23,47,103,127,"13.61",NA,"Central"
"872","41-9099","Sales and Related Workers, All Other","779",797,18,0.0231,2,36,65,103,"13.73",NA,"Central"
"873","43-0000","Office and Administrative Support Occupations","158231",156256,-1975,-0.0125,-198,7404,9929,17135,"18.3",NA,"Central"
"874","43-1011","First-Line Supervisors of Office and Administrative Support Workers","10833",10894,61,0.0056,6,403,664,1073,"29.28",NA,"Central"
"875","43-2011","Switchboard Operators, Including Answering Service","492",370,-122,-0.248,-12,22,25,35,"14.33",NA,"Central"
"876","43-3011","Bill and Account Collectors","2309",2040,-269,-0.1165,-27,80,154,207,"18.13",NA,"Central"
"877","43-3021","Billing and Posting Clerks","4373",4677,304,0.0695,30,186,278,494,"18.329999999999998",NA,"Central"
"878","43-3031","Bookkeeping, Accounting, and Auditing Clerks","11986",11676,-310,-0.0259,-31,693,604,1266,"21.51",NA,"Central"
"879","43-3051","Payroll and Timekeeping Clerks","822",729,-93,-0.1131,-9,37,42,70,"22.78",NA,"Central"
"880","43-3071","Tellers","2700",2363,-337,-0.1248,-34,103,159,228,"14.65",NA,"Central"
"881","43-3099","Financial Clerks, All Other","752",796,44,0.0585,4,27,55,86,"23.01",NA,"Central"
"882","43-4011","Brokerage Clerks","535",515,-20,-0.0374,-2,21,35,54,"23.42",NA,"Central"
"883","43-4021","Correspondence Clerks","165",156,-9,-0.0545,-1,7,10,16,"18.13",NA,"Central"
"884","43-4031","Court, Municipal, and License Clerks","1631",1806,175,0.1073,18,84,86,188,"22.28",NA,"Central"
"885","43-4041","Credit Authorizers, Checkers, and Clerks","186",179,-7,-0.0376,-1,6,11,16,"23.1",NA,"Central"
"886","43-4051","Customer Service Representatives","33376",32929,-447,-0.0134,-45,1558,2607,4120,"18",NA,"Central"
"887","43-4061","Eligibility Interviewers, Government Programs","1051",1109,58,0.0552,6,40,56,102,"22.92",NA,"Central"
"888","43-4071","File Clerks","843",736,-107,-0.1269,-11,43,49,81,"17.91",NA,"Central"
"889","43-4081","Hotel, Motel, and Resort Desk Clerks","812",921,109,0.1342,11,50,92,153,"11.41",NA,"Central"
"890","43-4111","Interviewers, Except Eligibility and Loan","849",842,-7,-0.0082,-1,49,55,103,"17.920000000000002",NA,"Central"
"891","43-4121","Library Assistants, Clerical","924",918,-6,-0.0065,-1,82,59,140,"14.27",NA,"Central"
"892","43-4131","Loan Interviewers and Clerks","2148",2129,-19,-0.0088,-2,62,126,186,"22.55",NA,"Central"
"893","43-4151","Order Clerks","977",766,-211,-0.216,-21,37,55,71,"17.95",NA,"Central"
"894","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","1486",1457,-29,-0.0195,-3,56,89,142,"18.8",NA,"Central"
"895","43-4171","Receptionists and Information Clerks","7289",7833,544,0.0746,54,422,522,998,"14.23",NA,"Central"
"896","43-4199","Information and Record Clerks, All Other","509",537,28,0.055,3,21,34,58,"22.26",NA,"Central"
"897","43-5011","Cargo and Freight Agents","313",348,35,0.1118,4,13,20,37,"22.44",NA,"Central"
"898","43-5021","Couriers and Messengers","582",548,-34,-0.0584,-3,23,31,51,"14.71",NA,"Central"
"899","43-5031","Police, Fire, and Ambulance Dispatchers","644",697,53,0.0823,5,24,38,67,"23.25",NA,"Central"
"900","43-5032","Dispatchers, Except Police, Fire, and Ambulance","1110",1195,85,0.0766,8,41,65,114,"19.350000000000001",NA,"Central"
"901","43-5041","Meter Readers, Utilities","398",361,-37,-0.093,-4,11,17,24,"23.05",NA,"Central"
"902","43-5051","Postal Service Clerks","433",399,-34,-0.0785,-3,19,15,31,"24.16",NA,"Central"
"903","43-5052","Postal Service Mail Carriers","1966",1810,-156,-0.0793,-16,66,68,118,"25.21",NA,"Central"
"904","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators","840",736,-104,-0.1238,-10,43,26,59,"22.25",NA,"Central"
"905","43-5061","Production, Planning, and Expediting Clerks","3921",4183,262,0.0668,26,145,263,434,"23.2",NA,"Central"
"906","43-5071","Shipping, Receiving, and Traffic Clerks","8470",8234,-236,-0.0279,-24,305,491,772,"17.91",NA,"Central"
"907","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","340",395,55,0.1618,6,14,21,41,"19.22",NA,"Central"
"908","43-6011","Executive Secretaries and Executive Administrative Assistants","4395",3477,-918,-0.2089,-92,200,220,328,"29.42",NA,"Central"
"909","43-6012","Legal Secretaries","1211",945,-266,-0.2197,-27,55,60,88,"22.89",NA,"Central"
"910","43-6013","Medical Secretaries","6915",7922,1007,0.1456,101,378,414,893,"17.93",NA,"Central"
"911","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","10974",10311,-663,-0.0604,-66,542,594,1070,"18.29",NA,"Central"
"912","43-9021","Data Entry Keyers","1043",793,-250,-0.2397,-25,41,58,74,"18.07",NA,"Central"
"913","43-9022","Word Processors and Typists","198",127,-71,-0.3586,-7,10,9,12,"18.079999999999998",NA,"Central"
"914","43-9041","Insurance Claims and Policy Processing Clerks","2839",2899,60,0.0211,6,101,168,275,"22.82",NA,"Central"
"915","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","936",895,-41,-0.0438,-4,46,57,99,"15.05",NA,"Central"
"916","43-9061","Office Clerks, General","19984",19864,-120,-0.006,-12,1087,1182,2257,"18.13",NA,"Central"
"917","43-9071","Office Machine Operators, Except Computer","1126",965,-161,-0.143,-16,54,63,101,"17.95",NA,"Central"
"918","43-9199","Office and Administrative Support Workers, All Other","877",950,73,0.0832,7,38,63,108,"22.44",NA,"Central"
"919","45-0000","Farming, Fishing, and Forestry Occupations","2208",2276,68,0.0308,7,94,254,355,"15.06",NA,"Central"
"920","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","160",167,7,0.0438,1,6,17,24,"30.4",NA,"Central"
"921","45-2091","Agricultural Equipment Operators","244",266,22,0.0902,2,11,29,42,"22.04",NA,"Central"
"922","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","1308",1361,53,0.0405,5,56,152,213,"15",NA,"Central"
"923","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","273",258,-15,-0.0549,-2,11,30,39,"14.3",NA,"Central"
"924","47-0000","Construction and Extraction Occupations","38627",41371,2744,0.071,274,1188,2738,4200,"23.97",NA,"Central"
"925","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","3465",3724,259,0.0747,26,102,233,361,"31.67",NA,"Central"
"926","47-2021","Brickmasons and Blockmasons","365",356,-9,-0.0247,-1,12,22,33,"29.77",NA,"Central"
"927","47-2031","Carpenters","4186",4353,167,0.0399,17,125,266,408,"23.43",NA,"Central"
"928","47-2044","Tile and Marble Setters","264",291,27,0.1023,3,7,16,26,"22.47",NA,"Central"
"929","47-2051","Cement Masons and Concrete Finishers","1399",1411,12,0.0086,1,34,92,127,"23.41",NA,"Central"
"930","47-2061","Construction Laborers","8667",9456,789,0.091,79,268,612,959,"22.61",NA,"Central"
"931","47-2071","Paving, Surfacing, and Tamping Equipment Operators","373",410,37,0.0992,4,13,28,45,"23.1",NA,"Central"
"932","47-2073","Operating Engineers and Other Construction Equipment Operators","2553",2759,206,0.0807,21,87,190,298,"29.09",NA,"Central"
"933","47-2111","Electricians","6083",6728,645,0.106,64,186,470,720,"28.55",NA,"Central"
"934","47-2121","Glaziers","260",271,11,0.0423,1,7,20,28,"23.48",NA,"Central"
"935","47-2141","Painters, Construction and Maintenance","1326",1403,77,0.0581,8,41,76,125,"22.54",NA,"Central"
